period,respondent,respondent-name,type,type-name,value,value-units
2023-01-12T02,CISO,California Independent System Operator,D,Demand,27587,megawatthours
2023-01-12T03,CISO,California Independent System Operator,D,Demand,28995,megawatthours
2023-01-12T04,CISO,California Independent System Operator,D,Demand,29009,megawatthours
2023-01-12T05,CISO,California Independent System Operator,D,Demand,28513,megawatthours
2023-01-12T06,CISO,California Independent System Operator,D,Demand,27804,megawatthours
2023-01-12T07,CISO,California Independent System Operator,D,Demand,26914,megawatthours
2023-01-12T08,CISO,California Independent System Operator,D,Demand,25239,megawatthours
2023-01-12T09,CISO,California Independent System Operator,D,Demand,23960,megawatthours
2023-01-12T10,CISO,California Independent System Operator,D,Demand,23536,megawatthours
2023-01-12T11,CISO,California Independent System Operator,D,Demand,22918,megawatthours
2023-01-12T12,CISO,California Independent System Operator,D,Demand,22608,megawatthours
2023-01-12T13,CISO,California Independent System Operator,D,Demand,22365,megawatthours
2023-01-12T14,CISO,California Independent System Operator,D,Demand,22280,megawatthours
2023-01-12T15,CISO,California Independent System Operator,D,Demand,22992,megawatthours
2023-01-12T16,CISO,California Independent System Operator,D,Demand,25003,megawatthours
2023-01-12T17,CISO,California Independent System Operator,D,Demand,26112,megawatthours
2023-01-12T18,CISO,California Independent System Operator,D,Demand,25882,megawatthours
2023-01-12T19,CISO,California Independent System Operator,D,Demand,25433,megawatthours
2023-01-12T20,CISO,California Independent System Operator,D,Demand,24534,megawatthours
2023-01-12T21,CISO,California Independent System Operator,D,Demand,23739,megawatthours
2023-01-12T22,CISO,California Independent System Operator,D,Demand,23295,megawatthours
2023-01-12T23,CISO,California Independent System Operator,D,Demand,23162,megawatthours
2023-01-13T00,CISO,California Independent System Operator,D,Demand,22649,megawatthours
2023-01-13T01,CISO,California Independent System Operator,D,Demand,23546,megawatthours
2023-01-13T02,CISO,California Independent System Operator,D,Demand,24960,megawatthours
2023-01-13T03,CISO,California Independent System Operator,D,Demand,26848,megawatthours
2023-01-13T04,CISO,California Independent System Operator,D,Demand,27194,megawatthours
2023-01-13T05,CISO,California Independent System Operator,D,Demand,26602,megawatthours
2023-01-13T06,CISO,California Independent System Operator,D,Demand,25944,megawatthours
2023-01-13T07,CISO,California Independent System Operator,D,Demand,25164,megawatthours
2023-01-13T08,CISO,California Independent System Operator,D,Demand,23922,megawatthours
2023-01-13T09,CISO,California Independent System Operator,D,Demand,22890,megawatthours
2023-01-13T10,CISO,California Independent System Operator,D,Demand,21978,megawatthours
2023-01-13T11,CISO,California Independent System Operator,D,Demand,21391,megawatthours
2023-01-13T12,CISO,California Independent System Operator,D,Demand,20895,megawatthours
2023-01-13T13,CISO,California Independent System Operator,D,Demand,20451,megawatthours
2023-01-13T14,CISO,California Independent System Operator,D,Demand,20885,megawatthours
2023-01-13T15,CISO,California Independent System Operator,D,Demand,22014,megawatthours
2023-01-13T16,CISO,California Independent System Operator,D,Demand,24195,megawatthours
2023-01-13T17,CISO,California Independent System Operator,D,Demand,25633,megawatthours
2023-01-13T18,CISO,California Independent System Operator,D,Demand,25618,megawatthours
2023-01-13T19,CISO,California Independent System Operator,D,Demand,25420,megawatthours
