datetime,Actual Demand,SARIMA Forecast,Prophet Forecast,Hybrid Forecast
2023-11-11 19:00:00,20473.0,23803.793443239025,16134.455689618442,21502.99211715285
2023-11-11 20:00:00,19650.0,23066.289764224584,15483.254002545156,20791.379035720754
2023-11-11 21:00:00,19163.0,22784.94043084727,15126.760512815366,20487.486455437695
2023-11-11 22:00:00,19156.0,22784.99265669465,15151.498884635294,20494.944525076844
2023-11-11 23:00:00,19058.0,23190.263897357883,15528.994938348884,20891.883209655185
2023-11-12 00:00:00,19771.0,24231.108823076986,16253.478118660025,21837.819611751896
2023-11-12 01:00:00,21626.0,25654.702861533267,17337.205523930148,23159.45366025233
2023-11-12 02:00:00,23690.0,27205.907106538707,18662.163919721723,24642.784150493608
2023-11-12 03:00:00,25075.0,28076.19633410298,19874.122415451224,25615.57415850745
2023-11-12 04:00:00,24913.0,27703.54177331425,20491.984334179622,25540.074541573857
2023-11-12 05:00:00,24317.0,26840.957610365644,20194.61151741068,24847.053782479157
2023-11-12 06:00:00,23866.0,25997.85775362816,19049.860178682517,23913.458481144466
2023-11-12 07:00:00,23342.0,24587.619802977,17474.034574879326,22453.54423454769
2023-11-12 08:00:00,22583.0,23211.367089982574,15945.21909537853,21031.52269160136
2023-11-12 09:00:00,21563.0,22392.750183541797,14717.375631766272,20090.13781800913
2023-11-12 10:00:00,20952.0,21660.779665748232,13774.568009538596,19294.91616888534
2023-11-12 11:00:00,20385.0,21205.497075290405,13030.51180168494,18753.001493208765
2023-11-12 12:00:00,19929.0,20942.76396859421,12545.028358698612,18423.44328562553
2023-11-12 13:00:00,19658.0,21002.46508739943,12523.756940862651,18458.8526434384
2023-11-12 14:00:00,19600.0,21651.59646205898,13094.378901253032,19084.4311938172
2023-11-12 15:00:00,20022.0,23189.26452802303,14086.949118276932,20458.5699050992
2023-11-12 16:00:00,20392.0,24223.359097370758,15055.82453740047,21473.098729379668
2023-11-12 17:00:00,20382.0,24711.323261262627,15555.157323427971,21964.473479912227
2023-11-12 18:00:00,19689.0,24632.98057438673,15438.666860889793,21874.686460337645
2023-11-12 19:00:00,19329.0,23803.86019127205,14930.598037745993,21141.88154521423
2023-11-12 20:00:00,18751.0,23066.35396127025,14426.936742358032,20474.528795596587
2023-11-12 21:00:00,18147.0,22785.002252205544,14223.944460930625,20216.68491482307
2023-11-12 22:00:00,18470.0,22785.052551504417,14407.187637384388,20271.693077268406
2023-11-12 23:00:00,19493.0,23190.322346960285,14947.182037116214,20717.380254007065
2023-11-13 00:00:00,20364.0,24231.165499807597,15837.103477697816,21712.94689317466
